202	Prot. hors-gel froid active
203	Charge complète activée
204	Bloqué, régime chauffage
205	Verrouillé, générateur
206	Verrouillé, ballon stockage
207	Durée fonct mini compr active, mode froid
208	Compresseur 1 et 2 EN, Mode froid
209	Compresseur 1 EN, mode froid
210	Compresseur 2 EN, mode froid
211	Position de dérangement
212	Empêchement démarrage
213	Mise hors service
214	Temps de sécurité
215	Démarrage
216	Veille
217	Retour à zéro
218	Préventilation
219	Post-ventilation
220	arrêt du régulateur activé
221	Mode maintien chaleur EN
222	Mode maintien chaleur actif
223	Prot. hors-gel chau eau inst
224	Allumage
225	Période transitoire
226	Fonct au gaz spécial
227	Test de dérive actif
228	Fonctionnement spécial
229	Mode de réglage
230	Réglage indiv actif
231	Démar. test de dérive manu.
232	T° fumées, coupure
233	T° fumées limitation puissnce
234	T° fumées excessive
235	Pression hydraul trop basse
236	Prolongation confort active
237	Transfert, cons légionelle
238	Transfert, cons nominale
239	Transfert, cons réduite
240	Transfert actif
241	Utilisation chaleur résiduelle
242	Gestion stratification active
243	Mode maintien chaleur libéré
244	Générateur libéré
245	Limiteur sécurité actif
246	Sous-tension secteur
247	protection antigel activée
248	Fonct ininterrompu  pompes
249	Charge opt Energie, nominal
250	Charge opt Energie, legionel
251	Charge opt Enrg fourn, nom
252	Charge opt Enrg fourn, legio
253	Débit trop faible
254	Pompage fluide frigor, man
255	Etat collectif 255
256	Pompage fluide frigorigène
257	Tempo démarrage dégivrage
258	Compresseur verrouillé
259	Verrouillé, temp source max
260	Verrouillé, temp source min
261	Verrouillé, temp retour max
262	Verrouillé, temp retour min
263	Verrouillé, temp dép max
264	Verrouillé, temp dép min
265	Verrouillé,temp cond max
266	Verrouillé, temp evap min
267	Verrouillé, tmp max gaz chd
268	Limitation temp evap min
269	Limitation temp cond max
270	Limitation temp evap max
271	Résistance élect. verrouillée
272	Charge haute temp active
273	Défaut démar progressif 1
274	Défaut démar progressif 2
275	Contrôl débit circ int évap.
276	Pressostat circ int évapor.
277	Régulation de qualité d'air
278	Limitation d'humidité
279	Ventilation commutateur
280	Rafraîchissement nocturne
281	Allure 1
282	Allure 2
283	Allure 3
284	Ventilation rapide
285	Rég. rafraîchiss. réduit
286	Elévation Réduit
287	Elévation Mode protection
288	Durée blocage apr rafraîch
289	Limite diff pres invers cycle
290	Low-pressure compressor 2
291	High-pressure compressor 2 in operation
