204	Modo riscaldamento, bloccato
205	Bloccato, sorgente
206	Bloccato, bollitore
207	Funz. minimo comp. cooling
208	Compressore 1 e 2 cooling
209	Compressore 1 On,  cooling
210	Compressore 2 On,  cooling
211	Blocco
212	Prevenire start
213	Spegnimento
214	Tempo di sicurezza
215	Startup
216	Standby, attesa
217	Home run
218	Preventilazione
219	Postventilazione
220	Contr. stop attivo
221	Modo caldo on
222	Modo caldo attivo
223	Protez antig ACS istant
224	Accensione
225	Tempo ripristino
226	Funzionamento gas
227	Drift test attivo
228	Funzionam speciale
229	Modo ripristino
230	Singolo settag caldaia attivo
231	Inizio drift test manuale
232	Temp fumi, spegnim
233	Temp fumi, output red
234	Temp fumi troppo alta
235	Press acqua bassa
236	Party function active
237	Trasferim, setp legionella
238	Trasferim, setp nominale
239	Trasferim, setp ridotto
240	Trasferim attivo
241	Uso calore residuale
242	Ristratificazione attiva
243	Consenso modo caldo
244	Sorgente rilasciata
245	Output limite SLT
246	Alim. sottotensione
247	Protez anticondensa attiva
248	Funzionam continuo pompa
249	Carico eff.energ, nom.stpt
250	Carico eff.energ, legionella
251	Carico eff.energ.rich.ut,nom
252	Carico eff.energ.rich.ut,legio
253	Flusso troppo basso
254	arresto manuale pomp refrig
255	Stato collettivo 255
256	arresto pompaggio refrig
257	Ritardo inizio sbrinamento
258	Compressore bloccato
259	blocco, max temp sorgente
260	blocco, min temp sorgente
261	blocco, max temp ritorno
262	blocco, min temp ritorno
263	blocco, max temp flusso
264	blocco, min temp flusso
265	blocco, max temp condens.
266	blocco, min temp evapor
267	blocco, gas caldo temp max
268	Limit min temp evaporaz
269	Limit max temp condens
270	Limit max temp evaporaz
271	Resist elettrica bloccata
272	Carico alta temp attivo
273	Fault soft starter 1
274	Fault soft starter 2 E27
275	Fluss.to sorg circ interm.
276	Press sorg circ intermedio
277	Controllo qualità aria
278	Limite umidità
279	Commut ventilazione
280	Raffresc notturno
281	Stadio 1
282	Stadio 2
283	Stadio 3
284	Boost ventilaz
285	Modo raggresc ridotto
286	Aumentare Ridotto
287	Aumentare Protezione
288	Tempo blocco dopo raffr
289	Limite press diff ciclo inv.
290	Low-pressure compressor 2
291	High-pressure compressor 2 in operation
